측정소명,자치구,회차,수온(℃),DO(㎎/L),BOD(㎎/L),COD(㎎/L),TN(㎎/L),TP(㎎/L),TOC(㎎/L),수소이온농도,SS(㎎/L),pollution_score,날짜,cum_rainfall,flag
노량진,용산구,1,3.6,12.3,1.2,4.7,6.125,0.045,2.7,8.1,3.7,0,2018-01-02,0.0,0.0
가양,강서구,1,2.1,15.2,1.3,4.9,5.821,0.06,2.8,8.4,19.0,0,2018-01-03,0.0,0.0
고덕천,강동구,1,0.8,15.4,2.1,2.9,3.648,0.045,1.9,7.7,6.2,0,2018-01-04,0.0,0.0
목감천1,구로구,1,3.1,12.2,2.6,5.8,7.785,0.096,4.0,7.7,4.2,0,2018-01-04,0.0,0.0
성내천,강동구,1,1.7,13.0,2.4,3.4,3.675,0.061,2.4,7.6,2.8,0,2018-01-04,0.0,0.0
성북천,동대문구,1,3.9,11.9,1.8,3.2,4.223,0.036,1.6,7.6,11.8,0,2018-01-04,0.0,0.0
안양천10,양천구,1,3.0,12.0,2.2,6.3,11.322,0.066,5.4,7.7,4.4,1,2018-01-04,0.0,0.0
양재천2,강남구,1,0.6,14.2,1.8,3.9,7.14,0.049,2.4,7.9,1.8,0,2018-01-04,0.0,0.0
우이천,성북구,1,1.3,15.6,2.0,3.8,7.949,0.03,2.4,7.6,1.4,0,2018-01-04,0.0,0.0
정릉천,동대문구,1,5.6,13.7,1.2,1.8,6.299,0.025,1.0,8.0,1.4,0,2018-01-04,0.0,0.0
중랑천4,노원구,1,8.0,13.2,1.6,4.8,9.433,0.042,3.2,7.3,3.6,0,2018-01-04,0.0,0.0
중랑천5,동대문구,1,2.6,13.7,1.6,5.0,8.743,0.067,3.5,7.6,3.4,0,2018-01-04,0.0,0.0
중랑천6,성동구,1,9.9,10.8,4.3,6.8,15.049,0.138,4.6,7.2,6.0,0,2018-01-04,0.0,0.0
청계천1,중구,1,2.1,13.4,1.4,2.3,2.814,0.011,1.5,7.8,0.8,0,2018-01-04,0.0,0.0
청계천2,성동구,1,1.1,13.7,1.5,2.9,2.915,0.007,1.4,7.9,1.6,0,2018-01-04,0.0,0.0
청계천3,성동구,1,1.3,15.1,1.4,3.7,3.234,0.013,1.5,7.6,1.8,0,2018-01-04,0.0,0.0
탄천6,강남구,1,0.9,11.4,5.5,7.8,13.2,0.167,5.6,7.1,4.2,3,2018-01-04,0.0,0.0
홍제천,마포구,1,1.3,15.0,1.3,2.1,7.101,0.017,1.3,8.3,2.8,0,2018-01-04,0.0,0.0
감이천,송파구,1,4.7,12.9,2.3,4.2,3.826,0.095,2.5,8.0,10.0,0,2018-01-08,0.5,0.0
망월천,강동구,1,6.6,11.5,2.8,6.1,8.101,0.341,3.0,8.0,60.0,2,2018-01-08,0.5,0.0
목감천2,구로구,1,2.5,9.1,2.4,6.7,7.648,0.078,4.3,8.0,4.6,0,2018-01-08,0.5,0.0
안양천8,구로구,1,5.8,8.8,3.6,10.4,13.079,0.088,6.5,7.9,7.0,2,2018-01-08,0.5,0.0
양재천1,서초구,1,7.5,9.8,2.5,5.3,7.985,0.137,2.9,7.6,10.2,0,2018-01-08,0.5,0.0
초이천,강동구,1,4.1,12.3,1.4,2.7,3.151,0.017,1.5,8.3,2.4,0,2018-01-08,0.5,0.0
가양,강서구,2,2.6,13.1,0.8,5.0,5.628,0.031,2.4,8.0,3.0,0,2018-01-10,0.0,0.0
구의,강동구,2,1.7,15.4,1.1,4.0,3.695,0.035,2.0,8.0,3.5,0,2018-01-11,0.0,0.0
노량진,용산구,2,1.2,14.7,1.0,4.4,7.55,0.05,2.6,7.8,2.0,0,2018-01-11,0.0,0.0
안양천9,구로구,2,2.1,12.7,2.8,9.1,12.135,0.09,5.7,7.9,3.3,2,2018-01-11,0.0,0.0
중랑천3,도봉구,2,4.0,12.1,5.7,8.4,14.94,0.27,5.3,7.4,4.5,4,2018-01-11,0.0,0.0
노량진,용산구,3,1.8,13.7,1.2,4.4,6.105,0.036,2.6,8.1,2.1,0,2018-01-15,0.0,0.0
감이천,송파구,2,4.6,12.9,2.0,3.5,3.65,0.089,2.3,8.0,13.0,0,2018-01-16,0.0,0.0
망월천,강동구,2,7.0,11.1,2.9,12.2,10.53,0.433,3.3,7.8,49.0,3,2018-01-16,0.0,0.0
목감천2,구로구,2,3.0,7.6,3.0,8.9,11.313,0.089,4.5,8.1,7.7,1,2018-01-16,0.0,0.0
안양천8,구로구,2,6.0,9.0,3.9,9.2,11.443,0.078,5.9,8.1,5.3,2,2018-01-16,0.0,0.0
양재천1,서초구,2,7.7,7.5,2.2,4.3,7.374,0.109,2.9,7.5,4.4,0,2018-01-16,0.0,0.0
초이천,강동구,2,3.8,12.2,1.6,2.5,3.422,0.019,1.8,8.2,6.0,0,2018-01-16,0.0,0.0
뚝도,성동구,1,3.9,13.8,0.5,3.9,3.508,0.028,2.0,8.4,1.4,0,2018-01-17,0.0,0.0
보광,용산구,1,3.8,12.6,0.7,4.3,5.141,0.036,2.3,8.0,2.0,0,2018-01-17,0.0,0.0
암사,강동구,1,3.9,14.3,0.7,3.5,3.003,0.033,1.7,8.2,0.8,0,2018-01-17,0.0,0.0
영등포,영등포구,1,2.3,14.0,0.6,4.2,5.412,0.039,2.3,7.8,2.0,0,2018-01-17,0.0,0.0
잠실,송파구,1,3.2,14.8,0.9,4.3,2.701,0.05,1.9,8.3,13.8,0,2018-01-17,0.0,0.0
가양,강서구,3,1.7,13.3,0.7,4.4,5.748,0.048,2.5,7.7,2.4,0,2018-01-17,0.0,0.0
노량진,용산구,4,4.1,11.3,1.4,4.8,6.249,0.045,2.8,8.1,3.5,0,2018-01-22,3.0,0.0
가양,강서구,4,1.1,13.5,0.9,5.2,6.013,0.034,2.4,7.7,4.2,0,2018-01-24,0.0,0.0
노량진,용산구,5,1.6,10.0,1.2,4.8,6.54,0.051,2.7,8.2,2.3,0,2018-01-29,0.0,0.0
고덕천,강동구,1,2.5,14.3,1.7,2.8,3.842,0.025,1.7,7.7,7.0,0,2018-02-01,0.0,0.0
목감천1,구로구,1,2.6,11.2,3.3,5.0,7.219,0.091,4.1,7.3,4.0,0,2018-02-01,0.0,0.0
성내천,강동구,1,1.3,13.0,1.8,2.5,3.063,0.022,2.1,7.5,1.6,0,2018-02-01,0.0,0.0
성북천,동대문구,1,2.5,13.5,1.0,1.6,4.547,0.016,1.7,7.5,2.2,0,2018-02-01,0.0,0.0
안양천10,양천구,1,3.6,11.4,3.1,7.1,12.881,0.058,5.1,7.5,3.6,2,2018-02-01,0.0,0.0
양재천2,강남구,1,0.2,14.9,2.0,3.2,6.523,0.033,2.6,6.6,2.6,0,2018-02-01,0.0,0.0
우이천,성북구,1,10.7,11.8,1.6,2.1,7.335,0.01,2.0,7.3,1.6,0,2018-02-01,0.0,0.0
정릉천,동대문구,1,5.9,14.3,1.3,0.9,6.386,0.014,1.1,7.9,2.4,0,2018-02-01,0.0,0.0
중랑천4,노원구,1,7.4,13.5,4.5,6.2,9.888,0.126,4.1,7.4,3.7,0,2018-02-01,0.0,0.0
중랑천5,동대문구,1,2.6,14.3,1.8,3.9,9.002,0.05,3.4,7.7,2.6,0,2018-02-01,0.0,0.0
중랑천6,성동구,1,9.5,11.7,5.6,6.6,15.267,0.096,4.7,7.2,6.4,1,2018-02-01,0.0,0.0
청계천1,중구,1,1.9,13.6,2.0,1.6,2.639,0.005,1.8,7.8,2.2,0,2018-02-01,0.0,0.0
청계천2,성동구,1,0.5,13.7,2.2,1.5,2.663,0.006,1.8,7.8,0.8,0,2018-02-01,0.0,0.0
청계천3,성동구,1,0.4,16.2,2.4,2.1,3.077,0.015,1.9,7.8,1.6,0,2018-02-01,0.0,0.0
탄천6,강남구,1,6.7,11.9,5.5,7.8,12.762,0.133,5.3,7.2,6.4,3,2018-02-01,0.0,0.0
홍제천,마포구,1,1.7,15.0,2.0,1.8,7.858,0.018,1.6,8.1,1.2,0,2018-02-01,0.0,0.0
노량진,용산구,1,1.1,10.6,1.0,4.6,6.975,0.039,2.8,8.3,2.3,0,2018-02-05,0.0,0.0
감이천,송파구,1,0.6,14.7,2.0,3.8,3.616,0.103,2.3,8.0,4.0,0,2018-02-06,0.0,0.0
망월천,강동구,1,3.1,12.3,6.6,15.6,8.843,0.43,3.4,8.0,17.6,3,2018-02-06,0.0,0.0
목감천2,구로구,1,0.5,9.8,2.8,6.8,7.701,0.121,5.6,8.1,3.6,1,2018-02-06,0.0,0.0
안양천8,구로구,1,3.3,9.2,3.2,9.3,15.665,0.096,6.2,7.9,4.4,2,2018-02-06,0.0,0.0
양재천1,서초구,1,3.4,11.2,2.0,4.0,7.555,0.119,3.2,7.4,2.2,0,2018-02-06,0.0,0.0
초이천,강동구,1,1.5,11.7,2.0,4.2,4.609,0.052,2.2,8.1,6.0,0,2018-02-06,0.0,0.0
노량진,용산구,2,1.4,13.4,1.3,4.8,6.102,0.03,2.9,8.1,2.4,0,2018-02-12,0.0,0.0
암사,강동구,1,1.9,15.7,0.5,4.0,2.667,0.016,1.7,8.1,2.0,0,2018-02-13,0.0,0.0
잠실,송파구,1,2.7,15.8,0.8,4.2,2.763,0.021,1.7,8.2,2.2,0,2018-02-13,0.0,0.0
가양,강서구,3,5.0,13.2,1.2,6.1,6.758,0.031,3.1,8.0,8.8,0,2018-02-21,0.0,0.0
감이천,송파구,2,5.0,11.7,1.8,3.2,2.65,0.037,2.0,8.5,4.6,0,2018-02-22,0.0,0.0
망월천,강동구,2,5.7,9.5,2.0,4.9,6.522,0.269,2.1,8.2,21.6,1,2018-02-22,0.0,0.0
목감천2,구로구,2,6.8,7.9,3.5,8.6,7.386,0.075,4.8,8.1,5.7,1,2018-02-22,0.0,0.0
안양천8,구로구,2,10.0,8.9,5.6,12.5,13.676,0.081,6.9,8.1,6.4,3,2018-02-22,0.0,0.0
양재천1,서초구,2,7.0,7.9,2.3,4.6,8.304,0.085,2.8,7.4,3.4,0,2018-02-22,0.0,0.0
초이천,강동구,2,3.2,10.0,1.2,2.4,2.691,0.017,1.5,8.0,5.0,0,2018-02-22,0.0,0.0
구의,강동구,3,2.4,14.5,1.0,4.0,2.883,0.03,2.0,8.3,2.3,0,2018-02-22,0.0,0.0
노량진,용산구,3,3.9,12.5,1.6,5.4,7.205,0.06,3.1,7.6,6.2,0,2018-02-22,0.0,0.0
안양천9,구로구,3,6.9,12.5,5.9,10.5,16.435,0.165,7.4,7.5,4.5,3,2018-02-22,0.0,0.0
중랑천3,도봉구,3,7.9,11.1,3.9,8.6,13.45,0.15,5.0,7.2,4.4,1,2018-02-22,0.0,0.0
노량진,용산구,4,5.1,12.6,2.0,5.1,6.507,0.042,3.1,8.2,4.5,0,2018-02-26,0.0,0.0
가양,강서구,4,5.4,12.7,1.7,6.0,6.147,0.029,2.8,8.2,4.8,0,2018-02-27,0.0,0.0
감이천,송파구,1,10.9,12.5,4.1,6.3,4.18,0.128,3.4,8.0,25.0,0,2018-03-05,5.5,0.0
망월천,강동구,1,11.0,11.5,3.2,8.6,4.472,0.329,3.5,8.7,53.0,3,2018-03-05,7.0,0.0
목감천2,구로구,1,10.0,8.8,7.3,18.1,7.081,0.24,7.5,8.2,31.5,5,2018-03-05,7.0,0.0
안양천8,구로구,1,14.0,8.8,5.2,13.2,9.814,0.158,6.0,8.2,13.2,3,2018-03-05,7.0,0.0
양재천1,서초구,1,11.7,11.3,5.3,6.8,6.785,0.234,2.9,7.7,18.0,2,2018-03-05,7.0,0.0
초이천,강동구,1,11.4,9.0,3.9,7.0,5.349,0.212,3.6,7.9,12.0,1,2018-03-05,7.0,0.0
가양,강서구,1,7.4,11.4,2.8,6.2,5.856,0.088,2.9,7.7,38.0,1,2018-03-06,0.0,0.0
구의,강동구,1,5.5,13.5,1.5,4.0,2.92,0.04,2.0,8.0,4.7,0,2018-03-08,5.0,0.0
노량진,용산구,1,6.4,12.4,3.0,4.1,6.18,0.08,2.7,7.3,5.2,0,2018-03-08,6.5,0.0
안양천9,구로구,1,10.2,10.2,6.4,10.0,15.935,0.13,6.1,7.5,8.0,3,2018-03-08,7.5,0.0
중랑천3,도봉구,1,10.6,10.3,6.1,9.1,9.725,0.45,5.3,7.1,18.3,4,2018-03-08,7.0,0.0
고덕천,강동구,1,7.6,11.4,1.9,2.7,3.656,0.056,1.9,7.8,3.4,0,2018-03-13,0.0,0.0
목감천1,구로구,1,10.4,9.5,4.4,6.9,7.362,0.156,5.3,7.2,8.8,1,2018-03-13,0.0,0.0
성내천,강동구,1,9.3,9.9,3.8,4.1,3.001,0.094,2.7,8.0,11.8,0,2018-03-13,0.0,0.0
성북천,동대문구,1,12.7,11.4,2.3,3.0,4.249,0.036,1.9,7.4,2.6,0,2018-03-13,0.0,0.0
안양천10,양천구,1,11.9,8.6,15.2,11.5,14.224,0.218,6.8,7.4,19.6,4,2018-03-13,0.0,0.0
양재천2,강남구,1,10.0,10.0,6.1,4.7,6.763,0.102,2.7,7.2,9.8,1,2018-03-13,0.0,0.0
우이천,성북구,1,13.5,14.9,2.7,4.0,6.35,0.056,2.4,8.8,12.6,0,2018-03-13,0.0,0.0
정릉천,동대문구,1,13.1,15.6,1.0,1.8,5.957,0.027,1.1,7.7,2.8,0,2018-03-13,0.0,0.0
중랑천4,노원구,1,13.4,11.2,6.5,7.7,6.69,0.125,4.6,7.4,10.4,2,2018-03-13,0.0,0.0
중랑천5,동대문구,1,11.3,10.1,3.7,5.7,5.89,0.106,3.7,7.5,7.8,0,2018-03-13,0.0,0.0
중랑천6,성동구,1,15.2,9.1,14.8,9.3,16.604,0.293,5.7,7.0,11.6,4,2018-03-13,0.0,0.0
청계천1,중구,1,6.0,13.2,1.2,1.9,2.368,0.006,1.5,8.1,1.2,0,2018-03-13,0.0,0.0
청계천2,성동구,1,8.2,13.3,1.6,1.5,2.313,0.012,1.5,7.6,3.2,0,2018-03-13,0.0,0.0
청계천3,성동구,1,11.1,12.9,2.5,2.7,2.868,0.037,1.8,8.1,4.2,0,2018-03-13,0.0,0.0
탄천6,강남구,1,12.7,8.4,12.5,8.3,11.889,0.182,5.9,7.4,9.8,3,2018-03-13,0.0,0.0
홍제천,마포구,1,10.5,12.4,3.7,2.8,8.751,0.031,2.0,7.6,3.8,0,2018-03-13,0.0,0.0
감이천,송파구,2,14.1,13.5,2.3,2.7,2.646,0.033,2.5,8.9,5.4,0,2018-03-13,0.0,0.0
망월천,강동구,2,13.2,12.4,2.0,6.0,6.581,0.214,2.3,8.5,10.0,1,2018-03-13,0.0,0.0
목감천2,구로구,2,14.4,7.8,4.7,9.0,7.191,0.142,5.1,8.0,10.8,2,2018-03-13,0.0,0.0
안양천8,구로구,2,17.7,9.6,6.0,10.7,14.368,0.093,6.9,8.0,6.5,3,2018-03-13,0.0,0.0
양재천1,서초구,2,14.1,8.3,2.5,4.5,8.942,0.123,2.6,7.6,10.6,0,2018-03-13,0.0,0.0
초이천,강동구,2,15.9,10.8,3.4,6.8,6.184,0.361,3.0,8.3,4.4,1,2018-03-13,0.0,0.0
뚝도,성동구,1,11.0,13.1,1.8,5.3,4.731,0.04,2.6,7.8,4.4,0,2018-03-14,0.0,0.0
보광,용산구,1,12.1,11.9,2.4,6.7,9.506,0.07,3.4,7.2,4.6,0,2018-03-14,0.0,0.0
암사,강동구,1,9.1,11.9,1.4,4.3,2.543,0.032,1.8,7.8,8.0,0,2018-03-14,0.0,0.0
영등포,영등포구,1,9.1,14.1,2.4,5.6,4.213,0.035,2.6,7.6,6.2,0,2018-03-14,0.0,0.0
잠실,송파구,1,9.1,12.6,1.2,4.1,2.529,0.021,2.0,8.2,9.0,0,2018-03-14,0.0,0.0
가양,강서구,2,8.9,14.0,2.4,6.1,5.121,0.049,2.6,7.6,8.3,0,2018-03-14,0.0,0.0
구의,강동구,2,7.7,14.1,2.0,4.2,3.01,0.03,2.6,8.0,6.0,0,2018-03-14,0.0,0.0
노량진,용산구,2,11.1,12.4,2.6,5.0,6.075,0.07,3.0,7.4,5.7,0,2018-03-14,0.0,0.0
안양천9,구로구,2,15.8,8.2,7.5,11.3,15.775,0.12,6.9,7.4,10.7,3,2018-03-14,0.0,0.0
중랑천3,도봉구,2,15.9,11.1,5.7,8.3,7.515,0.165,5.1,7.1,10.3,3,2018-03-14,0.0,0.0
가양,강서구,3,9.0,10.8,3.4,6.7,3.997,0.063,2.7,7.9,70.4,1,2018-03-20,0.0,0.0
감이천,송파구,3,12.6,14.5,3.1,4.1,3.884,0.058,3.4,8.4,3.9,0,2018-03-22,0.0,0.0
구의,강동구,3,8.2,12.6,2.4,5.3,3.385,0.04,2.6,8.0,6.4,0,2018-03-22,0.0,0.0
노량진,용산구,3,8.1,12.3,3.2,5.8,5.43,0.07,3.3,7.7,8.5,0,2018-03-22,0.0,0.0
망월천,강동구,3,11.1,12.3,2.6,9.7,7.69,0.264,2.7,8.2,21.2,2,2018-03-22,0.0,0.0
목감천2,구로구,3,13.3,8.9,1.4,8.2,7.159,0.114,4.3,8.2,15.0,1,2018-03-22,0.0,0.0
안양천8,구로구,3,15.8,9.1,2.8,10.7,13.749,0.078,5.5,8.2,7.3,2,2018-03-22,0.0,0.0
안양천9,구로구,3,11.5,9.7,4.3,10.5,16.935,0.105,6.4,7.4,5.0,2,2018-03-22,0.0,0.0
양재천1,서초구,3,13.6,8.5,2.4,4.4,9.19,0.176,2.7,7.3,6.6,0,2018-03-22,0.0,0.0
중랑천3,도봉구,3,13.8,11.0,4.2,8.0,9.07,0.195,4.6,7.3,10.5,1,2018-03-22,0.0,0.0
초이천,강동구,3,10.3,11.0,2.0,4.0,3.884,0.065,2.2,8.2,3.7,0,2018-03-22,0.0,0.0
가양,강서구,4,13.8,12.6,3.7,7.9,4.762,0.06,3.5,8.4,6.6,1,2018-03-27,0.0,0.0
구의,강동구,4,11.8,13.1,3.0,5.8,3.3,0.03,2.8,8.5,6.5,0,2018-03-29,0.0,0.0
노량진,용산구,4,14.0,13.0,5.4,7.6,6.89,0.075,4.2,8.0,8.5,2,2018-03-29,0.0,0.0
안양천9,구로구,4,17.0,8.5,8.6,11.9,15.725,0.125,7.2,7.5,6.6,3,2018-03-29,0.0,0.0
중랑천3,도봉구,4,18.1,10.6,5.6,9.0,7.995,0.255,5.3,7.3,11.8,4,2018-03-29,0.0,0.0
감이천,송파구,4,18.6,14.7,6.8,7.6,2.231,0.067,4.2,9.3,23.0,2,2018-03-30,0.0,0.0
망월천,강동구,4,18.0,11.8,3.1,13.1,6.922,0.364,3.2,8.4,29.2,3,2018-03-30,0.0,0.0
목감천2,구로구,4,19.2,9.3,4.5,7.2,6.427,0.13,5.6,8.1,21.7,2,2018-03-30,0.0,0.0
안양천8,구로구,4,21.4,10.3,5.9,14.9,12.154,0.08,6.2,8.2,11.5,3,2018-03-30,0.0,0.0
양재천1,서초구,4,17.1,8.3,3.0,5.8,7.6,0.096,3.3,7.7,9.4,0,2018-03-30,0.0,0.0
초이천,강동구,4,17.7,11.0,2.6,5.1,5.069,0.229,3.1,8.6,9.2,1,2018-03-30,0.0,0.0
가양,강서구,1,14.8,9.8,2.8,7.3,6.868,0.113,3.6,7.9,34.4,2,2018-04-03,0.0,0.0
감이천,송파구,1,16.9,15.3,3.4,6.2,2.496,0.066,3.6,8.5,51.0,1,2018-04-03,0.0,0.0
망월천,강동구,1,17.8,11.2,2.4,3.7,5.949,0.325,3.1,8.5,28.4,2,2018-04-03,0.0,0.0
목감천2,구로구,1,18.8,7.8,4.1,9.4,8.124,0.188,4.5,7.8,12.4,1,2018-04-03,0.0,0.0
안양천8,구로구,1,20.1,8.8,6.0,14.8,13.479,0.112,6.7,7.9,12.0,3,2018-04-03,0.0,0.0
양재천1,서초구,1,17.8,7.1,3.1,6.5,7.11,0.144,3.6,7.2,19.0,0,2018-04-03,0.0,0.0
초이천,강동구,1,17.8,10.8,3.2,6.4,5.151,0.284,3.6,8.3,11.6,1,2018-04-03,0.0,0.0
구의,강동구,1,11.9,11.4,2.1,4.8,3.185,0.03,4.9,7.8,6.7,0,2018-04-05,13.0,0.0
노량진,용산구,1,13.6,10.2,5.3,6.7,6.74,0.09,3.4,7.5,11.0,1,2018-04-05,12.0,0.0
안양천9,구로구,1,13.6,5.4,16.9,13.6,11.845,0.35,7.7,7.4,13.3,4,2018-04-05,11.0,0.0
중랑천3,도봉구,1,13.7,10.8,8.5,9.5,7.97,0.345,6.2,7.3,23.4,4,2018-04-05,15.5,1.0
목감천1,구로구,1,14.5,9.0,3.5,6.2,7.142,0.142,4.6,7.3,12.2,0,2018-04-10,1.5,0.0
성북천,동대문구,1,15.8,12.8,1.4,2.6,3.119,0.017,1.7,7.6,3.4,0,2018-04-10,7.0,1.0
안양천10,양천구,1,14.7,6.5,12.2,7.6,11.421,0.078,6.0,7.3,12.4,3,2018-04-10,3.0,0.0
양재천2,강남구,1,12.6,11.2,3.8,3.6,5.411,0.042,2.5,7.0,8.8,0,2018-04-10,3.5,0.0
우이천,성북구,1,15.6,10.7,3.8,3.1,5.531,0.027,2.3,8.6,16.8,0,2018-04-10,5.0,1.0
정릉천,동대문구,1,15.6,14.3,1.1,2.3,5.951,0.062,1.4,8.3,1.2,0,2018-04-10,7.0,1.0
중랑천5,동대문구,1,13.3,10.8,2.2,4.1,5.244,0.055,3.3,7.7,7.4,0,2018-04-10,7.0,1.0
중랑천6,성동구,1,17.6,9.8,6.6,5.9,13.297,0.076,4.7,7.9,8.6,1,2018-04-10,4.0,0.0
청계천1,중구,1,11.4,11.0,0.7,2.3,2.505,0.008,1.7,7.8,1.2,0,2018-04-10,4.5,1.0
청계천2,성동구,1,14.1,11.6,0.8,2.4,2.554,0.02,1.7,7.8,1.4,0,2018-04-10,4.0,0.0
청계천3,성동구,1,15.2,10.7,2.5,2.8,3.012,0.033,1.9,7.8,7.6,0,2018-04-10,4.0,0.0
탄천6,강남구,1,15.0,10.6,7.6,8.4,9.916,0.109,4.8,7.1,6.4,2,2018-04-10,3.5,0.0
홍제천,마포구,1,15.8,14.1,2.3,3.1,8.035,0.036,2.1,8.4,3.8,0,2018-04-10,4.0,0.0
뚝도,성동구,1,12.5,10.9,2.2,5.2,3.899,0.038,2.2,7.5,5.6,0,2018-04-11,0.0,0.0
보광,용산구,1,13.8,7.7,7.3,8.5,8.572,0.188,3.6,7.1,10.0,2,2018-04-11,0.0,0.0
암사,강동구,1,12.5,13.2,1.6,4.6,2.788,0.027,2.2,7.8,7.2,0,2018-04-11,0.0,0.0
영등포,영등포구,1,12.1,10.7,2.6,5.5,4.105,0.056,2.3,7.4,6.8,0,2018-04-11,0.0,0.0
잠실,송파구,1,12.7,13.3,1.3,4.3,2.736,0.025,2.0,7.8,6.8,0,2018-04-11,0.0,0.0
가양,강서구,2,11.9,10.8,2.8,5.5,4.376,0.045,2.6,7.4,5.6,0,2018-04-11,0.0,0.0
감이천,송파구,2,19.3,15.6,3.3,6.1,3.149,0.067,3.9,9.2,24.8,0,2018-04-11,0.0,0.0
망월천,강동구,2,17.4,12.1,4.7,9.2,6.456,0.236,5.5,8.8,29.6,4,2018-04-11,0.0,0.0
목감천2,구로구,2,19.4,7.8,4.9,8.8,6.508,0.159,5.1,7.7,11.8,2,2018-04-11,0.0,0.0
안양천8,구로구,2,21.2,8.5,5.7,11.1,10.494,0.086,6.2,7.9,12.0,3,2018-04-11,0.0,0.0
양재천1,서초구,2,17.8,10.0,3.3,6.6,7.242,0.112,3.4,7.7,16.6,0,2018-04-11,0.0,0.0
초이천,강동구,2,19.1,9.2,3.9,7.0,5.302,0.308,4.2,8.2,11.6,1,2018-04-11,0.0,0.0
구의,강동구,2,13.7,11.6,2.9,4.9,3.32,0.045,2.6,8.2,6.6,0,2018-04-12,0.0,0.0
노량진,용산구,2,13.5,10.4,3.8,5.4,4.835,0.07,2.8,7.6,6.8,0,2018-04-12,0.0,0.0
안양천9,구로구,2,16.0,8.6,9.3,11.8,14.195,0.15,6.9,7.5,12.5,3,2018-04-12,0.0,0.0
중랑천3,도봉구,2,17.8,10.1,4.9,7.7,8.095,0.13,4.2,7.0,14.5,1,2018-04-12,0.0,0.0
가양,강서구,3,14.2,11.4,3.6,7.3,4.603,0.078,2.8,8.1,77.5,2,2018-04-18,0.0,0.0
감이천,송파구,3,19.3,15.9,3.7,7.4,2.794,0.071,3.9,9.4,14.0,1,2018-04-19,0.0,0.0
망월천,강동구,3,18.4,14.0,2.2,6.1,5.847,0.235,2.8,9.0,11.6,1,2018-04-19,0.0,0.0
목감천2,구로구,3,19.4,7.2,3.1,8.5,7.725,0.203,4.6,7.9,13.0,2,2018-04-19,0.0,0.0
안양천8,구로구,3,21.2,8.4,5.2,12.2,9.07,0.104,5.3,8.0,11.6,3,2018-04-19,0.0,0.0
양재천1,서초구,3,17.9,8.6,3.2,7.5,6.077,0.199,3.3,7.8,34.0,2,2018-04-19,0.0,0.0
초이천,강동구,3,20.0,10.5,3.4,7.2,5.692,0.279,2.8,8.6,3.2,2,2018-04-19,0.0,0.0
구의,강동구,3,15.8,11.4,2.1,4.7,2.945,0.025,3.1,8.3,5.6,0,2018-04-20,0.0,0.0
노량진,용산구,3,15.1,11.8,3.6,6.3,4.16,0.06,3.7,8.0,18.9,0,2018-04-20,0.0,0.0
안양천9,구로구,3,19.3,7.7,7.0,11.4,11.5,0.135,6.7,7.3,19.5,3,2018-04-20,0.0,0.0
중랑천3,도봉구,3,20.0,11.2,6.4,8.3,7.175,0.16,4.8,7.5,13.5,2,2018-04-20,0.0,0.0
가양,강서구,4,13.7,9.7,5.4,6.3,3.463,0.104,2.3,7.5,21.2,1,2018-04-24,4.5,1.0
감이천,송파구,4,19.3,10.8,1.7,4.6,4.663,0.075,2.1,7.9,40.4,1,2018-04-25,0.0,0.0
망월천,강동구,4,17.3,14.1,1.6,4.8,3.915,0.212,2.6,8.8,17.4,1,2018-04-25,0.0,0.0
목감천2,구로구,4,18.1,7.9,3.5,7.6,6.59,0.156,4.6,7.7,9.0,1,2018-04-25,0.0,0.0
안양천8,구로구,4,20.8,8.4,4.0,8.6,6.155,0.096,4.4,7.8,13.8,1,2018-04-25,0.0,0.0
양재천1,서초구,4,18.1,10.9,2.0,4.7,4.798,0.046,2.1,7.5,7.4,0,2018-04-25,0.0,0.0
초이천,강동구,4,19.0,7.8,2.0,6.2,5.389,0.181,2.2,7.7,5.2,0,2018-04-25,0.0,0.0
구의,강동구,4,14.9,11.5,2.0,4.3,3.05,0.045,2.7,8.1,9.1,0,2018-04-26,0.0,0.0
노량진,용산구,4,14.8,10.9,1.9,4.2,3.97,0.06,2.5,7.7,7.1,0,2018-04-26,0.0,0.0
안양천9,구로구,4,17.2,7.5,5.2,9.5,10.34,0.17,5.0,7.4,10.9,2,2018-04-26,0.0,0.0
중랑천3,도봉구,4,17.9,9.5,5.9,7.1,7.995,0.23,3.8,7.2,10.0,3,2018-04-26,0.0,0.0
가양,강서구,1,17.6,9.6,2.4,6.0,5.176,0.06,2.7,7.9,14.8,0,2018-05-02,4.5,0.0
감이천,송파구,1,13.5,8.1,10.4,19.9,3.506,0.547,12.5,8.1,554.0,5,2018-05-03,19.0,1.0
망월천,강동구,1,15.3,9.8,3.7,8.8,4.931,0.213,5.6,8.4,48.4,4,2018-05-03,1.5,0.0
목감천2,구로구,1,18.5,7.5,5.0,10.2,7.09,0.14,5.5,7.7,29.0,3,2018-05-03,0.0,0.0
안양천8,구로구,1,20.3,9.5,5.6,11.1,8.624,0.101,6.2,7.9,9.6,3,2018-05-03,0.0,0.0
양재천1,서초구,1,17.2,9.3,2.2,5.9,5.041,0.129,2.5,7.9,16.4,0,2018-05-03,6.5,1.0
초이천,강동구,1,14.4,5.6,12.3,21.9,4.412,0.73,15.6,7.9,516.0,5,2018-05-03,1.5,0.0
